experiment_name,exp_id,auc,pr_auc,brier,f1,mae,rmse,paired_significance_p
rsi_main,exp_20260222_134844_4b8713,1.0,1.0,0.154477,0.857143,0.387064,0.393036,0.08260113
rsi_baseline,exp_20260222_134844_cf8411,0.666667,0.638889,0.281923,0.0,0.504135,0.530964,nan
