experiment_name,exp_id,auc,pr_auc,brier,f1,mae,rmse,paired_significance_p
geomodel_full,exp_20260224_052521_669734,1.0,1.0,0.191622,1.0,0.436783,0.437746,0.2993244
geomodel_ablation_no_geo,exp_20260224_052522_66080d,1.0,1.0,0.181287,1.0,0.424642,0.425778,0.24509148
