experiment_name,exp_id,auc,pr_auc,brier,f1,mae,rmse,paired_significance_p
rk_enhanced,exp_20260223_135722_6997cd,0.416667,0.667857,0.267082,0.285714,0.511949,0.5168,0.99201489
kriging_baseline,exp_20260223_135722_6ecc86,0.833333,0.8875,0.198328,0.75,0.434393,0.44534,0.07738696
