experiment_name,exp_id,auc,pr_auc,brier,f1,mae,rmse,paired_significance_p
geomodel_full,exp_20260213_132309_2b12a9,0.296296,0.344658,0.313413,0.285714,0.544819,0.559833,0.97796255
geomodel_ablation_no_geo,exp_20260213_132310_2713f3,0.592593,0.578968,0.26963,0.571429,0.501301,0.51926,0.89972866
