sample_id,borehole_name,event_time,x,y,target_coal_thickness_m,target_seam_thickness_m,total_coal_thickness_m,total_strata_thickness_m,layer_count,coal_layer_count,mean_layer_thickness_m,std_layer_thickness_m,mean_elastic_modulus_gpa,mean_density_kn_m3,mean_tensile_strength_mpa,label
1,42-17,2025-01-01T00:00:00Z,493819.99,5403253.54,43.900000000000034,43.900000000000034,50.60000000000004,325.30000000000007,44.0,8.5,7.393181818181819,14.373332278394036,0.0,0.0,0.0,1
2,44-20,2025-01-02T00:00:00Z,494139.87,5403910.06,43.650000000000034,43.650000000000034,51.95000000000003,342.75,50.0,6.0,6.855,13.486141961287522,0.0,0.0,0.0,1
3,44-21,2025-01-03T00:00:00Z,494281.28,5403430.68,45.920000000000016,45.920000000000016,50.62000000000002,323.56,25.0,6.0,12.9424,18.513906053235903,0.0,0.0,0.0,1
4,46-17,2025-01-04T00:00:00Z,494772.09,5403559.76,46.43000000000001,46.43000000000001,52.68000000000001,349.13000000000005,39.0,7.0,8.952051282051283,14.621844595740496,0.0,0.0,0.0,1
5,46-18,2025-01-05T00:00:00Z,494932.54,5403086.53,33.092499999999944,33.092499999999944,38.55,310.25,30.0,7.0,10.341666666666667,10.25493444911061,0.0,0.0,0.0,0
7,48-19,2025-01-07T00:00:00Z,495234.32,5403718.35,42.44,42.44,47.239999999999995,370.59000000000003,27.0,4.5,13.725555555555557,15.07349583020508,0.0,0.0,0.0,0
6,48-20,2025-01-06T00:00:00Z,495395.96,5403245.75,33.092499999999944,33.092499999999944,36.23999999999995,318.00000000000006,29.0,6.0,10.965517241379313,12.194891408151173,0.0,0.0,0.0,0
8,BK14-7,2025-01-08T00:00:00Z,495198.22,5404068.78,42.77999999999997,42.77999999999997,49.92999999999997,365.2299999999999,33.0,6.0,11.067575757575755,12.222136159643568,0.0,0.0,0.0,0
