sample_id,borehole_name,event_time,x,y,target_coal_thickness_m,target_seam_thickness_m,total_coal_thickness_m,total_strata_thickness_m,layer_count,coal_layer_count,mean_layer_thickness_m,std_layer_thickness_m,mean_elastic_modulus_gpa,mean_density_kn_m3,mean_tensile_strength_mpa,label
1,50-14,2025-01-01T00:00:00Z,495394.96,5404813.13,38.9,38.9,55.6,446.0,63.0,11.0,7.079365079365079,11.979859404137743,0.0,0.0,0.0,1
2,50-15,2025-01-02T00:00:00Z,495558.87,5404339.03,38.45,38.45,55.980000000000004,426.99999999999994,57.0,11.0,7.4912280701754375,14.66023181049528,0.0,0.0,0.0,1
3,50-16,2025-01-03T00:00:00Z,495724.71,5403865.27,40.21,40.21,53.22,381.4800000000001,46.0,10.0,8.293043478260872,13.181819474195647,0.0,0.0,0.0,1
4,52-17,2025-01-04T00:00:00Z,495869.64,5404980.28,42.4,42.4,67.35,487.15000000000003,76.0,12.0,6.409868421052632,10.91828204789672,0.0,0.0,0.0,1
5,52-18,2025-01-05T00:00:00Z,496022.31,5404502.09,36.769999999999996,36.769999999999996,49.940000000000005,457.8,67.0,12.0,6.832835820895522,8.090834284596765,0.0,0.0,0.0,1
6,52-19,2025-01-06T00:00:00Z,496166.57,5404015.05,47.17,47.17,55.59,382.25,58.0,8.0,6.5905172413793105,6.4081132363358515,0.0,0.0,0.0,1
7,54-16,2025-01-07T00:00:00Z,496497.74,5404659.17,34.8,34.8,60.25,463.84999999999997,75.0,10.0,6.184666666666666,8.881369914351927,0.0,0.0,0.0,1
8,54-17,2025-01-08T00:00:00Z,496655.46,5404184.68,27.58,27.58,32.84,386.12,38.0,6.0,10.161052631578947,16.201655501745183,0.0,0.0,0.0,0
9,54-18,2025-01-09T00:00:00Z,496814.18,5403710.73,31.900000000000002,31.900000000000002,32.3,347.54999999999995,38.0,5.0,9.146052631578947,8.930848235624445,0.0,0.0,0.0,0
10,56-18,2025-01-10T00:00:00Z,496675.16,5405766.01,37.2,37.2,88.05,550.65,72.0,18.0,7.647916666666666,10.013423065718115,0.0,0.0,0.0,1
11,56-20,2025-01-11T00:00:00Z,497136.01,5404331.36,31.2,1.6387499999999982,41.95,409.94,41.0,11.0,9.998536585365853,14.19581053983209,0.0,0.0,0.0,0
12,56-22,2025-01-12T00:00:00Z,497291.62,5403856.01,24.119999999999997,24.119999999999997,26.369999999999997,381.90000000000003,41.0,6.0,9.314634146341465,9.005192837295757,0.0,0.0,0.0,0
13,60-18,2025-01-13T00:00:00Z,497934.73,5405121.27,43.9,43.9,86.58000000000001,575.15,73.0,20.0,7.878767123287671,10.29971550946459,0.0,0.0,0.0,1
14,60-20,2025-01-14T00:00:00Z,498232.97,5404152.17,26.6,26.6,29.4,460.65,52.0,9.0,8.858653846153846,11.127770705769304,0.0,0.0,0.0,0
15,64-24,2025-01-15T00:00:00Z,498879.63,5405400.98,45.65,45.65,68.8,649.3999999999997,61.0,21.0,10.645901639344258,16.302871855732153,0.0,0.0,0.0,1
16,BK12-2,2025-01-16T00:00:00Z,497464.39,5404959.31,35.96,35.96,74.30000000000001,557.1300000000001,63.0,19.0,8.843333333333335,10.890347407987802,0.0,0.0,0.0,1
17,BK12-3,2025-01-17T00:00:00Z,497621.5,5404458.17,22.900000000000002,22.900000000000002,36.51,479.71000000000004,61.0,17.0,7.864098360655738,9.909724380718192,0.0,0.0,0.0,0
18,BK12-4,2025-01-18T00:00:00Z,497754.0,5403998.03,22.0,22.0,30.599999999999998,433.07,42.0,10.0,10.311190476190475,9.8958491063247,0.0,0.0,0.0,0
19,BK12-7,2025-01-19T00:00:00Z,498083.15,5404638.49,21.86,21.86,44.39,502.34,72.0,22.0,6.976944444444444,8.888268585127141,0.0,0.0,0.0,0
20,BK12-8,2025-01-20T00:00:00Z,498378.44,5403689.89,18.89,18.89,20.99,427.24,37.0,8.0,11.547027027027028,13.219818836896012,0.0,0.0,0.0,0
21,BK14-9,2025-01-21T00:00:00Z,499027.9391,5404918.19,24.45,24.45,28.25,540.05,42.0,9.0,12.858333333333333,13.040527106763061,0.0,0.0,0.0,0
22,BK17-6,2025-01-22T00:00:00Z,498782.26,5404074.31,26.1,26.1,28.9,434.25,33.0,7.0,13.159090909090908,17.56824120888468,0.0,0.0,0.0,0
23,BK20-1,2025-01-23T00:00:00Z,498695.79,5404381.0,24.68,24.68,27.34,472.05,42.0,8.0,11.239285714285714,12.622471720979961,0.0,0.0,0.0,0
24,BK23-3,2025-01-24T00:00:00Z,498046.92,5404790.11,43.41,43.41,60.69,523.9200000000001,84.0,16.0,6.237142857142858,6.552579566826476,0.0,0.0,0.0,1
25,BK23-4,2025-01-25T00:00:00Z,498616.54,5404670.77,27.160000000000004,27.160000000000004,36.120000000000005,497.55000000000007,81.0,13.0,6.142592592592593,6.8608412502534755,0.0,0.0,0.0,0
26,BK23-5,2025-01-26T00:00:00Z,496173.39,5405602.25,40.08,40.08,92.69999999999999,523.1800000000001,74.0,15.0,7.070000000000001,9.346577347249,0.0,0.0,0.0,1
27,BK23-6,2025-01-27T00:00:00Z,496830.86,5405285.47,33.48,33.48,98.37,513.21,78.0,19.0,6.579615384615385,8.903633145261788,0.0,0.0,0.0,0
28,BK23-8,2025-01-28T00:00:00Z,497760.29,5405592.22,39.9,39.9,108.43,579.9300000000001,79.0,26.0,7.340886075949368,8.5606377956338,0.0,0.0,0.0,1
