experiment_name,exp_id,auc,pr_auc,brier,f1,mae,rmse,paired_significance_p
exp004_hybrid_augmented,exp_20260223_113726_3bf742,1.0,1.0,0.201764,1.0,0.447604,0.449182,0.11072013
exp005_wo_pinchout,exp_20260223_113726_00b4c3,1.0,1.0,0.189901,1.0,0.434474,0.435776,0.10683865
