dataset_id,model_type,sample_count,auc_mean,auc_std,brier_mean,brier_std,f1_mean,f1_std,rmse_mean,rmse_std
research_boreholes_28,geomodel_ablation,5,1.0,0.0,0.18346,0.00766417330179844,0.9199999999999999,0.0979795897113271,0.42822960000000004,0.008916448768427928
research_boreholes_28,geomodel_aware,5,1.0,0.0,0.1897728,0.0029244603878322605,1.0,0.0,0.4356162,0.0033584058361073705
research_boreholes_28,hybrid_augmented,5,1.0,0.0,0.18345519999999998,0.007803483975763648,1.0,0.0,0.42821879999999996,0.009149837755938625
research_boreholes_28,kriging_baseline,5,1.0,0.0,0.13617200000000002,0.004398399072389867,0.666667,0.0,0.3689664,0.005974568088155001
research_boreholes_28,pinchout_no_zoning,5,0.9,0.1224744871391589,0.192147,0.0022358835390064477,0.666667,0.0,0.43833859999999997,0.0025471099387344826
research_boreholes_36,geomodel_ablation,5,0.9333334000000001,0.05443305096207632,0.2053084,0.003348424381705519,0.8228572,0.027994238474371803,0.45309499999999997,0.003680117335085945
research_boreholes_36,geomodel_aware,5,1.0,0.0,0.2012006,0.004423026050115463,0.8800000000000001,0.0979795897113271,0.44852679999999995,0.004931320894040454
research_boreholes_36,hybrid_augmented,5,0.9555556,0.05443305096207632,0.198534,0.0077213471622508975,0.864762,0.1265483529074954,0.445488,0.008643554754844794
research_boreholes_36,kriging_baseline,5,0.6444448,0.04444439999999998,0.24058380000000001,0.008726864623677865,0.24000000000000005,0.19595917942265426,0.49041300000000004,0.008883716136842731
research_boreholes_36,pinchout_no_zoning,5,0.3777774,0.054433050962076346,0.2779282,0.015161662156900877,0.08,0.16,0.526994,0.014348037733432385
